26,12
26,9
25,9
24,9
23,9
22,9
21,9
21,8
21,7
22,7
22,6
22,5
21,5
21,4
21,3
22,3
22,2
22,1
21,1
20,1
19,1
18,1
18,0
17,0
16,0
15,0
14,0
14,1
13,1
12,1
11,1
10,1
10,2
10,3
9,3
9,4
9,5
8,5
8,7
8,6
9,7
9,8
9,9
8,9
7,9
6,9
5,9
4,9
4,10
4,11
4,12
4,13
5,13
6,13
7,13
8,13
9,13
9,14
9,15
8,15
8,16
8,17
9,17
9,18
9,19
10,19
10,20
10,21
11,21
12,21
13,21
14,21
14,22
15,22
16,22
17,22
18,22
18,21
19,21
20,21
21,21
22,21
22,20
22,19
21,19
21,18
21,17
22,17
22,16
22,15
21,15
21,14
21,13
22,13
23,13
24,13
25,13
26,13
26,11
26,10
