26,11
25,11
24,11
24,10
24,9
24,8
23,8
22,8
22,7
22,6
22,5
22,4
21,4
20,4
19,4
19,3
19,2
18,2
17,2
16,2
16,1
16,0
15,0
14,0
13,0
12,0
12,1
12,2
11,2
10,2
9,2
9,3
9,4
8,4
7,4
6,4
6,5
6,6
6,7
6,8
5,8
4,8
4,9
4,10
4,11
3,11
2,11
2,12
2,13
2,14
2,15
3,15
4,15
4,16
4,17
4,18
5,18
6,18
6,19
6,20
6,21
6,22
7,22
8,22
9,22
9,23
9,24
10,24
11,24
12,24
12,25
12,26
13,26
14,26
15,26
16,26
16,25
16,24
17,24
18,24
19,24
19,23
19,22
20,22
21,22
22,22
22,21
22,20
22,19
22,18
23,18
24,18
24,17
24,16
24,15
25,15
26,15
26,14
26,13
26,12
